gemeente_id,Provincienaam,Gemeentenaam,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020
1641,Limburg,Maasgouw,0,0,0,0,0,0,0,0,0,0,0,0,0
556,Zuid-Holland,Maassluis,0,0,0,0,0,0,0,0,0,0,0,0,0
935,Limburg,Maastricht,0,0,0,0,0,0,0,0,2,3,4,6,7
420,Noord-Holland,Medemblik,0,0,0,0,0,0,0,0,0,0,0,0,0
938,Limburg,Meerssen,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,Noord-Brabant,Meierijstad,0,0,0,0,0,0,0,0,0,1,4,10,11
119,Drenthe,Meppel,0,0,0,0,0,0,0,0,0,0,0,0,0
687,Zeeland,Middelburg,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,Zuid-Holland,Midden-Delfland,0,0,0,0,0,0,0,0,0,0,0,0,0
1731,Drenthe,Midden-Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,Groningen,Midden-Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0
815,Noord-Brabant,Mill en Sint Hubert,0,0,0,0,0,0,0,0,0,0,0,0,0
1709,Noord-Brabant,Moerdijk,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,Zuid-Holland,Molenlanden,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,Gelderland,Montferland,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Utrecht,Montfoort,0,0,0,0,0,0,0,0,0,0,0,0,0
944,Limburg,Mook en Middelaar,0,0,0,0,0,0,0,0,0,0,0,0,0
1740,Gelderland,Neder-Betuwe,0,0,0,0,0,0,0,0,0,0,0,1,1
946,Limburg,Nederweert,0,0,0,0,0,0,0,0,0,0,0,0,0
356,Utrecht,Nieuwegein,0,0,0,0,0,0,0,0,0,0,0,0,0
569,Zuid-Holland,Nieuwkoop,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Gelderland,Nijkerk,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Gelderland,Nijmegen,0,0,0,0,0,0,0,0,1,2,2,3,3
1930,Zuid-Holland,Nissewaard,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Friesland,Noardeast-Fryslân,0,0,0,0,0,0,0,0,0,0,0,0,0
1695,Zeeland,Noord-Beveland,0,0,0,0,0,0,0,0,0,0,0,0,0
1699,Drenthe,Noordenveld,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Flevoland,Noordoostpolder,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Zuid-Holland,Noordwijk,0,0,0,0,0,0,0,0,0,0,0,2,2
820,Noord-Brabant,"Nuenen, Gerwen en Nederwetten",0,0,0,0,0,0,0,0,0,0,0,0,1
302,Gelderland,Nunspeet,0,0,0,0,0,0,0,0,0,0,0,0,0
579,Zuid-Holland,Oegstgeest,0,0,0,0,0,0,0,0,0,1,1,1,1
823,Noord-Brabant,Oirschot,0,0,0,0,0,0,0,0,0,0,0,0,0
824,Noord-Brabant,Oisterwijk,0,0,0,0,0,0,0,0,1,3,3,3,3
1895,Groningen,Oldambt,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Gelderland,Oldebroek,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Overijssel,Oldenzaal,0,0,0,0,0,0,0,0,0,0,0,0,0
1773,Overijssel,Olst-Wijhe,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Overijssel,Ommen,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,Gelderland,Oost Gelre,0,0,0,0,0,0,0,0,0,0,0,0,0
826,Noord-Brabant,Oosterhout,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Friesland,Ooststellingwerf,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Noord-Holland,Oostzaan,0,0,0,0,0,0,0,0,0,0,0,0,0
432,Noord-Holland,Opmeer,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Friesland,Opsterland,0,0,0,0,0,0,0,0,0,0,0,0,2
828,Noord-Brabant,Oss,0,0,0,0,1,1,1,1,1,1,1,1,1
1509,Gelderland,Oude IJsselstreek,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Noord-Holland,Ouder-Amstel,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Utrecht,Oudewater,0,0,0,0,0,0,0,0,0,0,0,0,0
1734,Gelderland,Overbetuwe,0,0,0,0,0,0,0,0,0,0,0,0,0
590,Zuid-Holland,Papendrecht,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,Limburg,Peel en Maas,0,0,0,0,0,0,0,0,0,0,0,0,1
765,Groningen,Pekela,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,Zuid-Holland,Pijnacker-Nootdorp,0,0,0,0,0,0,0,2,2,2,2,2,4
