id;Gemeente;Indicator;Aantal
737;Tytsjerksteradiel;Aantal gevallen;0
856;Uden;Aantal gevallen;18
450;Uitgeest;Aantal gevallen;0
451;Uithoorn;Aantal gevallen;0
184;Urk;Aantal gevallen;0
344;Utrecht;Aantal gevallen;18
1581;Utrechtse Heuvelrug;Aantal gevallen;2
981;Vaals;Aantal gevallen;0
994;Valkenburg aan de Geul;Aantal gevallen;0
858;Valkenswaard;Aantal gevallen;0
47;Veendam;Aantal gevallen;0
345;Veenendaal;Aantal gevallen;0
717;Veere;Aantal gevallen;1
861;Veldhoven;Aantal gevallen;1
453;Velsen;Aantal gevallen;0
983;Venlo;Aantal gevallen;1
984;Venray;Aantal gevallen;0
1961;Vijfheerenlanden;Aantal gevallen;1
622;Vlaardingen;Aantal gevallen;0
96;Vlieland;Aantal gevallen;0
718;Vlissingen;Aantal gevallen;0
986;Voerendaal;Aantal gevallen;0
626;Voorschoten;Aantal gevallen;0
285;Voorst;Aantal gevallen;1
865;Vught;Aantal gevallen;1
1949;Waadhoeke;Aantal gevallen;0
866;Waalre;Aantal gevallen;1
867;Waalwijk;Aantal gevallen;6
627;Waddinxveen;Aantal gevallen;1
289;Wageningen;Aantal gevallen;0
629;Wassenaar;Aantal gevallen;0
852;Waterland;Aantal gevallen;1
988;Weert;Aantal gevallen;0
457;Weesp;Aantal gevallen;0
1960;West Betuwe;Aantal gevallen;2
668;West Maas en Waal;Aantal gevallen;1
1969;Westerkwartier;Aantal gevallen;0
1701;Westerveld;Aantal gevallen;0
293;Westervoort;Aantal gevallen;0
1950;Westerwolde;Aantal gevallen;0
1783;Westland;Aantal gevallen;0
98;Weststellingwerf;Aantal gevallen;0
614;Westvoorne;Aantal gevallen;1
189;Wierden;Aantal gevallen;0
296;Wijchen;Aantal gevallen;1
1696;Wijdemeren;Aantal gevallen;0
352;Wijk bij Duurstede;Aantal gevallen;1
294;Winterswijk;Aantal gevallen;0
873;Woensdrecht;Aantal gevallen;0
632;Woerden;Aantal gevallen;2
880;Wormerland;Aantal gevallen;0
351;Woudenberg;Aantal gevallen;1
479;Zaanstad;Aantal gevallen;2
297;Zaltbommel;Aantal gevallen;1
473;Zandvoort;Aantal gevallen;0
50;Zeewolde;Aantal gevallen;1
355;Zeist;Aantal gevallen;3
299;Zevenaar;Aantal gevallen;0
637;Zoetermeer;Aantal gevallen;0
638;Zoeterwoude;Aantal gevallen;0
1892;Zuidplas;Aantal gevallen;0
879;Zundert;Aantal gevallen;2
301;Zutphen;Aantal gevallen;0
1896;Zwartewaterland;Aantal gevallen;0
642;Zwijndrecht;Aantal gevallen;0
193;Zwolle;Aantal gevallen;2
