,id,Gemeente,Indicator,Aantal
252,277,Rozendaal,Aantal gevallen,
253,840,Rucphen,Aantal gevallen,
254,441,Schagen,Aantal gevallen,
255,279,Scherpenzeel,Aantal gevallen,
256,606,Schiedam,Aantal gevallen,
257,88,Schiermonnikoog,Aantal gevallen,
258,1676,Schouwen-Duiveland,Aantal gevallen,1.0
259,518,'s-Gravenhage,Aantal gevallen,2.0
260,796,'s-Hertogenbosch,Aantal gevallen,3.0
261,965,Simpelveld,Aantal gevallen,2.0
262,1702,Sint Anthonis,Aantal gevallen,
263,845,Sint-Michielsgestel,Aantal gevallen,5.0
264,1883,Sittard-Geleen,Aantal gevallen,8.0
265,610,Sliedrecht,Aantal gevallen,
266,1714,Sluis,Aantal gevallen,
267,90,Smallingerland,Aantal gevallen,
268,342,Soest,Aantal gevallen,7.0
269,847,Someren,Aantal gevallen,
270,848,Son en Breugel,Aantal gevallen,
271,37,Stadskanaal,Aantal gevallen,
272,180,Staphorst,Aantal gevallen,
273,532,Stede Broec,Aantal gevallen,
274,851,Steenbergen,Aantal gevallen,
275,1708,Steenwijkerland,Aantal gevallen,
276,971,Stein,Aantal gevallen,
277,1904,Stichtse Vecht,Aantal gevallen,5.0
278,1900,Súdwest-Fryslân,Aantal gevallen,
279,715,Terneuzen,Aantal gevallen,
280,93,Terschelling,Aantal gevallen,
281,448,Texel,Aantal gevallen,
282,1525,Teylingen,Aantal gevallen,
283,716,Tholen,Aantal gevallen,
284,281,Tiel,Aantal gevallen,1.0
285,855,Tilburg,Aantal gevallen,27.0
286,183,Tubbergen,Aantal gevallen,1.0
287,1700,Twenterand,Aantal gevallen,
288,1730,Tynaarlo,Aantal gevallen,
289,737,Tytsjerksteradiel,Aantal gevallen,
290,856,Uden,Aantal gevallen,12.0
291,450,Uitgeest,Aantal gevallen,
292,451,Uithoorn,Aantal gevallen,
293,184,Urk,Aantal gevallen,
294,344,Utrecht,Aantal gevallen,13.0
295,1581,Utrechtse Heuvelrug,Aantal gevallen,2.0
296,981,Vaals,Aantal gevallen,
297,994,Valkenburg aan de Geul,Aantal gevallen,
298,858,Valkenswaard,Aantal gevallen,
299,47,Veendam,Aantal gevallen,
300,345,Veenendaal,Aantal gevallen,
301,717,Veere,Aantal gevallen,
302,861,Veldhoven,Aantal gevallen,1.0
303,453,Velsen,Aantal gevallen,
304,983,Venlo,Aantal gevallen,1.0
305,984,Venray,Aantal gevallen,
306,1961,Vijfheerenlanden,Aantal gevallen,1.0
307,622,Vlaardingen,Aantal gevallen,
308,96,Vlieland,Aantal gevallen,
309,718,Vlissingen,Aantal gevallen,
310,986,Voerendaal,Aantal gevallen,
311,626,Voorschoten,Aantal gevallen,
312,285,Voorst,Aantal gevallen,1.0
